index,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
537,Maseru,Maseru,-29.3167,27.4833,Lesotho,LS,LSO,Maseru,primary,361324.0,1426977668
3798,Mafeteng,Mafeteng,-29.8166,27.25,Lesotho,LS,LSO,Mafeteng,admin,57059.0,1426506047
3959,Leribe,Leribe,-28.878,28.056,Lesotho,LS,LSO,Leribe,admin,47675.0,1426721246
4471,Mohale’s Hoek,Mohale's Hoek,-30.159,27.48,Lesotho,LS,LSO,Mohale’s Hoek,admin,24992.0,1426343192
4508,Quthing,Quthing,-30.411,27.716,Lesotho,LS,LSO,Quthing,admin,24130.0,1426618526
4753,Butha-Buthe,Butha-Buthe,-28.75,28.25,Lesotho,LS,LSO,Butha-Buthe,admin,16330.0,1426574356
5066,Mokhotlong,Mokhotlong,-29.291,29.078,Lesotho,LS,LSO,Mokhotlong,admin,8809.0,1426785819
5276,Teyateyaneng,Teyateyaneng,-29.153,27.753,Lesotho,LS,LSO,Berea,admin,5115.0,1426159118
6580,Qacha’s Nek,Qacha's Nek,-30.1154,28.6894,Lesotho,LS,LSO,Qacha’s Nek,admin,,1426361264
6704,Thaba-Tseka,Thaba-Tseka,-29.522,28.6084,Lesotho,LS,LSO,Thaba-Tseka,admin,,1426611266
536,Valletta,Valletta,35.8997,14.5147,Malta,MT,MLT,Valletta,primary,368250.0,1470574399
5377,Sliema,Sliema,35.9125,14.5019,Malta,MT,MLT,Sliema,admin,,1470229986
5392,Fgura,Fgura,35.8703,14.5133,Malta,MT,MLT,Fgura,admin,,1470252842
5393,Birkirkara,Birkirkara,35.8972,14.4611,Malta,MT,MLT,Birkirkara,admin,,1470754290
5395,Ħamrun,Hamrun,35.8847,14.4844,Malta,MT,MLT,Ħamrun,admin,,1470141385
5403,Senglea,Senglea,35.8875,14.5169,Malta,MT,MLT,Isla,admin,,1470598185
5411,Tarxien,Tarxien,35.8658,14.515,Malta,MT,MLT,Tarxien,admin,,1470230507
5418,Floriana,Floriana,35.8958,14.5083,Malta,MT,MLT,Floriana,admin,,1470089344
5420,Imsida,Imsida,35.8925,14.4828,Malta,MT,MLT,Imsida,admin,,1470395922
5424,Santa Venera,Santa Venera,35.8908,14.4742,Malta,MT,MLT,Santa Venera,admin,,1470983296
5427,Pietà,Pieta,35.8947,14.495,Malta,MT,MLT,Pietà,admin,,1470444069
